Id,Price,Year,Mileage,City,State,Vin,Make,Model,Vehicle Style,Vehicle Size,MSRP,City MPG,Engine HP,Highway MPG,Popularity,Total Depreciation,Age,Avg MPG,Avg Depreciation Per Year
64,17300,2015,24075,Lillington, NC,KL4CJBSB3FB253521,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10351.25,3.0,27.75,3450.4166666666665
65,18676,2016,3448,Lutz, Fl,KL4CJBSB1GB719416,Buick,EncoreConvenience,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9245.0,2.0,28.200000000000003,4622.5
66,16400,2015,19581,Fairless Hills, PA,KL4CJASB2FB158880,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11251.25,3.0,27.75,3750.4166666666665
67,16947,2015,19091,Ellicott City, MD,KL4CJASB6FB125820,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10704.25,3.0,27.75,3568.0833333333335
68,17950,2015,7895,Fresno, CA,KL4CJASB7FB266072,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,9701.25,3.0,27.75,3233.75
69,17500,2016,20157,Grapevine, TX,KL4CJBSB7GB529197,Buick,EncoreConvenience,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10421.0,2.0,28.200000000000003,5210.5
70,14990,2015,33847,Kirkwood, MO,KL4CJASB8FB267554,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12661.25,3.0,27.75,4220.416666666667
71,15995,2015,24930,Grand Forks, ND,KL4CJBSB3FB265331,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11656.25,3.0,27.75,3885.4166666666665
74,16947,2015,22352,Brockton, MA,KL4CJESB1FB190453,Buick,EncoreAWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10704.25,3.0,27.75,3568.0833333333335
75,17998,2016,11015,Greenville, NC,KL4CJASBXGB545422,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9923.0,2.0,28.200000000000003,4961.5
78,15475,2016,40147,New Orleans, LA,KL4CJASB2GB577278,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,12446.0,2.0,28.200000000000003,6223.0
79,14901,2015,51091,Selma, TX,KL4CJBSB3FB254619,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12750.25,3.0,27.75,4250.083333333333
80,17853,2016,13503,Tallahassee, FL,KL4CJASB3GB537873,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10068.0,2.0,28.200000000000003,5034.0
81,18800,2016,8968,Kenosha, WI,KL4CJASB8GB602927,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9121.0,2.0,28.200000000000003,4560.5
82,16995,2015,23174,Souderton, PA,KL4CJASB9FB029910,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10656.25,3.0,27.75,3552.0833333333335
83,17991,2016,10059,Prince Frederick, MD,KL4CJASB5GB693316,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,9930.0,2.0,28.200000000000003,4965.0
85,16495,2015,19495,Lynn, MA,KL4CJESB3FB233318,Buick,EncoreAWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11156.25,3.0,27.75,3718.75
86,17853,2016,13625,Tallahassee, FL,KL4CJASB2GB539436,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10068.0,2.0,28.200000000000003,5034.0
88,17400,2016,9368,Siloam Springs, AR,KL4CJASB0GB667433,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10521.0,2.0,28.200000000000003,5260.5
89,19327,2017,3339,Austin, TX,KL4CJASBXHB009295,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,8688.0,1.0,28.35,8688.0
90,16343,2016,30716,Grove City, OH,KL4CJASB0GB605580,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,11578.0,2.0,28.200000000000003,5789.0
91,15678,2015,19825,Noblesville, IN,KL4CJASB8FB237597,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11973.25,3.0,27.75,3991.0833333333335
92,16875,2015,14682,Miami, FL,KL4CJBSB0FB249328,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10776.25,3.0,27.75,3592.0833333333335
93,16995,2015,26643,Marietta, GA,KL4CJCSB5FB098766,Buick,EncoreLeather,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10656.25,3.0,27.75,3552.0833333333335
95,15994,2015,16067,Seffner, FL,KL4CJCSB2FB170538,Buick,EncoreLeather,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11657.25,3.0,27.75,3885.75
97,16475,2015,15612,ORLANDO, FL,KL4CJASB9FB262847,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11176.25,3.0,27.75,3725.4166666666665
98,16300,2015,25485,Williamstown, NJ,KL4CJASB9FB207136,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11351.25,3.0,27.75,3783.75
101,20485,2017,5614,New Bern, NC,KL4CJASB2HB014748,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,7530.0,1.0,28.35,7530.0
102,15392,2015,39846,Madison, WI,KL4CJBSB7FB042726,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,12259.25,3.0,27.75,4086.4166666666665
105,14376,2015,47383,Henderson, NV,KL4CJBSB0FB261477,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,13275.25,3.0,27.75,4425.083333333333
